City,Customer ID,Customer Name,Segment,Country,State,Postal Code,Region
Monroe,MC-18130,Mike Caudle,Corporate,United States,Louisiana,71203,South
New York City,CK-12595,Clytie Kelty,Consumer,United States,New York,10024,East
San Francisco,DK-13225,Dean Katz,Corporate,United States,California,94109,West
Los Angeles,SW-20245,Scot Wooten,Consumer,United States,California,90036,West
Scottsdale,TW-21025,Tamara Willingham,Home Office,United States,Arizona,85254,West
San Antonio,LT-17110,Liz Thompson,Consumer,United States,Texas,78207,Central
Waynesboro,AB-10060,Adam Bellavance,Home Office,United States,Virginia,22980,South
San Francisco,EH-13765,Edward Hooks,Corporate,United States,California,94109,West
Philadelphia,SC-20770,Stewart Carmichael,Corporate,United States,Pennsylvania,19134,East
Riverside,DB-13360,Dennis Bolton,Home Office,United States,California,92503,West
Columbus,HZ-14950,Henia Zydlo,Consumer,United States,Ohio,43229,East
Harlingen,JS-15880,John Stevenson,Consumer,United States,Texas,78550,Central
Seattle,MM-18280,Muhammed MacIntyre,Corporate,United States,Washington,98103,West
Redwood City,SP-20650,Stephanie Phelps,Corporate,United States,California,94061,West
Green Bay,SP-20545,Sibella Parks,Corporate,United States,Wisconsin,54302,Central
Philadelphia,PL-18925,Paul Lucas,Home Office,United States,Pennsylvania,19143,East
San Francisco,FC-14335,Fred Chung,Corporate,United States,California,94110,West
Jackson,SJ-20125,Sanjit Jacobs,Home Office,United States,Mississippi,39212,South
Bryan,MY-18295,Muhammed Yedwab,Corporate,United States,Texas,77803,Central
Malden,CS-12355,Christine Sundaresam,Consumer,United States,Massachusetts,2148,East
Newark,VM-21835,Vivian Mathis,Consumer,United States,Delaware,19711,East
Columbia,GZ-14470,Gary Zandusky,Consumer,United States,Maryland,21044,East
San Francisco,AC-10660,Anna Chung,Consumer,United States,California,94109,West
Memphis,RO-19780,Rose O'Brian,Consumer,United States,Tennessee,38109,South
Columbia,DB-13060,Dave Brooks,Consumer,United States,Tennessee,38401,South
Littleton,BT-11440,Bobby Trafton,Consumer,United States,Colorado,80122,West
Oceanside,SV-20935,Susan Vittorini,Consumer,United States,New York,11572,East
Nashville,CC-12610,Corey Catlett,Corporate,United States,Tennessee,37211,South
Salem,ZC-21910,Zuschuss Carroll,Consumer,United States,Oregon,97301,West
Evanston,PB-19105,Peter Bühler,Consumer,United States,Illinois,60201,Central
Saint Peters,RD-19660,Robert Dilbeck,Home Office,United States,Missouri,63376,Central
Gulfport,AH-10030,Aaron Hawkins,Corporate,United States,Mississippi,39503,South
Chicago,KT-16465,Kean Takahito,Consumer,United States,Illinois,60623,Central
Houston,DM-12955,Dario Medina,Corporate,United States,Texas,77036,Central
North Las Vegas,RB-19645,Robert Barroso,Corporate,United States,Nevada,89031,West
Seattle,MC-17275,Marc Crier,Consumer,United States,Washington,98103,West
Gresham,DR-12880,Dan Reichenbach,Corporate,United States,Oregon,97030,West
Richmond,VG-21805,Vivek Grady,Corporate,United States,Indiana,47374,Central
Cleveland,DC-12850,Dan Campbell,Consumer,United States,Ohio,44105,East
Norman,TB-21280,Toby Braunhardt,Consumer,United States,Oklahoma,73071,Central
New York City,DK-12835,Damala Kotsonis,Corporate,United States,New York,10024,East
New York City,SP-20545,Sibella Parks,Corporate,United States,New York,10011,East
Jacksonville,DB-13210,Dean Braden,Consumer,United States,North Carolina,28540,South
Pocatello,MV-17485,Mark Van Huff,Consumer,United States,Idaho,83201,West
Columbus,DS-13180,David Smith,Corporate,United States,Georgia,31907,South
Arlington,AS-10045,Aaron Smayling,Corporate,United States,Virginia,22204,South
Los Angeles,CC-12220,Chris Cortes,Consumer,United States,California,90032,West
Chicago,ME-17320,Maria Etezadi,Home Office,United States,Illinois,60653,Central
New York City,JM-15250,Janet Martin,Consumer,United States,New York,10009,East
Springfield,TB-21595,Troy Blackwell,Consumer,United States,Ohio,45503,East
Norwich,CP-12085,Cathy Prescott,Corporate,United States,Connecticut,6360,East
Philadelphia,CS-11950,Carlos Soltero,Consumer,United States,Pennsylvania,19134,East
New York City,EH-13990,Erica Hackney,Consumer,United States,New York,10009,East
Auburn,RB-19360,Raymond Buch,Consumer,United States,New York,13021,East
Sierra Vista,BB-10990,Barry Blumstein,Corporate,United States,Arizona,85635,West
New York City,DW-13540,Don Weiss,Consumer,United States,New York,10024,East
New York City,TB-21175,Thomas Boland,Corporate,United States,New York,10035,East
New York City,FP-14320,Frank Preis,Consumer,United States,New York,10009,East
Columbus,DB-12910,Daniel Byrd,Home Office,United States,Georgia,31907,South
Milwaukee,MY-18295,Muhammed Yedwab,Corporate,United States,Wisconsin,53209,Central
Milwaukee,DJ-13420,Denny Joy,Corporate,United States,Wisconsin,53209,Central
Philadelphia,CS-11950,Carlos Soltero,Consumer,United States,Pennsylvania,19140,East
Richmond,ZD-21925,Zuschuss Donatelli,Consumer,United States,Indiana,47374,Central
Dallas,SR-20740,Steven Roelle,Home Office,United States,Texas,75081,Central
Springfield,ME-17320,Maria Etezadi,Home Office,United States,Virginia,22153,South
New York City,EH-14185,Evan Henry,Consumer,United States,New York,10035,East
Troy,BC-11125,Becky Castell,Home Office,United States,New York,12180,East
Houston,GM-14455,Gary Mitchum,Home Office,United States,Texas,77095,Central
Philadelphia,JH-16180,Justin Hirsh,Consumer,United States,Pennsylvania,19140,East
Burlington,VM-21685,Valerie Mitchum,Home Office,United States,Vermont,5408,East
San Francisco,YC-21895,Yoseph Carroll,Corporate,United States,California,94110,West
New York City,Dl-13600,Dorris liebe,Corporate,United States,New York,10035,East
New York City,SF-20200,Sarah Foster,Consumer,United States,New York,10009,East
Lakewood,ES-14080,Erin Smith,Corporate,United States,New Jersey,8701,East
Philadelphia,AS-10240,Alan Shonely,Consumer,United States,Pennsylvania,19120,East
New York City,JL-15505,Jeremy Lonsdale,Consumer,United States,New York,10035,East
Los Angeles,LC-17140,Logan Currie,Consumer,United States,California,90032,West
Houston,ZC-21910,Zuschuss Carroll,Consumer,United States,Texas,77041,Central
Troy,EH-14125,Eugene Hildebrand,Home Office,United States,Ohio,45373,East
Los Angeles,CK-12595,Clytie Kelty,Consumer,United States,California,90032,West
Smyrna,PG-18820,Patrick Gardner,Consumer,United States,Georgia,30080,South
Columbus,RM-19375,Raymond Messe,Consumer,United States,Georgia,31907,South
Hot Springs,CK-12325,Christine Kargatis,Home Office,United States,Arkansas,71901,South
Seattle,EB-13750,Edward Becker,Corporate,United States,Washington,98103,West
Detroit,SW-20350,Sean Wendt,Home Office,United States,Michigan,48227,Central
Los Angeles,HF-14995,Herbert Flentye,Consumer,United States,California,90004,West
Springfield,JR-16210,Justin Ritter,Corporate,United States,Ohio,45503,East
Bakersfield,FM-14215,Filia McAdams,Corporate,United States,California,93309,West
San Francisco,BT-11680,Brian Thompson,Consumer,United States,California,94122,West
Chicago,QJ-19255,Quincy Jones,Corporate,United States,Illinois,60653,Central
Springfield,BD-11605,Brian Dahlen,Consumer,United States,Virginia,22153,South
Los Angeles,BP-11290,Beth Paige,Consumer,United States,California,90036,West
Los Angeles,JF-15295,Jason Fortune-,Consumer,United States,California,90036,West
Wilson,TB-21175,Thomas Boland,Corporate,United States,North Carolina,27893,South
San Francisco,SP-20920,Susan Pistek,Consumer,United States,California,94109,West
Los Angeles,PB-19150,Philip Brown,Consumer,United States,California,90004,West
Glendale,KT-16465,Kean Takahito,Consumer,United States,Arizona,85301,West
Alexandria,TB-21400,Tom Boeckenhauer,Consumer,United States,Virginia,22304,South
Baltimore,JM-15580,Jill Matthias,Consumer,United States,Maryland,21215,East
Gastonia,RB-19795,Ross Baird,Home Office,United States,North Carolina,28052,South
San Francisco,BD-11320,Bill Donatelli,Consumer,United States,California,94110,West
Grapevine,MY-18295,Muhammed Yedwab,Corporate,United States,Texas,76051,Central
San Diego,JK-16120,Julie Kriz,Home Office,United States,California,92105,West
Columbus,AP-10915,Arthur Prichep,Consumer,United States,Georgia,31907,South
Lakewood,BS-11365,Bill Shonely,Corporate,United States,New Jersey,8701,East
Seattle,BM-11785,Bryan Mills,Consumer,United States,Washington,98115,West
Nashville,PK-19075,Pete Kriz,Consumer,United States,Tennessee,37211,South
Raleigh,BF-11170,Ben Ferrer,Home Office,United States,North Carolina,27604,South
Omaha,SW-20350,Sean Wendt,Home Office,United States,Nebraska,68104,Central
Lakewood,JM-15535,Jessica Myrick,Consumer,United States,California,90712,West
Columbia,CS-12175,Charles Sheldon,Corporate,United States,Tennessee,38401,South
Elmhurst,CR-12580,Clay Rozendal,Home Office,United States,Illinois,60126,Central
Chesapeake,RF-19840,Roy Französisch,Consumer,United States,Virginia,23320,South
Houston,TH-21115,Thea Hudgings,Corporate,United States,Texas,77070,Central
New York City,CS-12490,Cindy Schnelling,Corporate,United States,New York,10009,East
Columbus,GM-14455,Gary Mitchum,Home Office,United States,Ohio,43229,East
Los Angeles,JO-15280,Jas O'Carroll,Consumer,United States,California,90049,West
New York City,KM-16720,Kunst Miller,Consumer,United States,New York,10035,East
Chicago,SP-20545,Sibella Parks,Corporate,United States,Illinois,60623,Central
Seattle,DN-13690,Duane Noonan,Consumer,United States,Washington,98115,West
Milford,BT-11680,Brian Thompson,Consumer,United States,Connecticut,6460,East
Phoenix,TN-21040,Tanja Norvell,Home Office,United States,Arizona,85023,West
Jefferson City,EL-13735,Ed Ludwig,Home Office,United States,Missouri,65109,Central
Aurora,TT-21460,Tonja Turnell,Home Office,United States,Illinois,60505,Central
San Francisco,PG-18895,Paul Gonzalez,Consumer,United States,California,94122,West
Rome,MM-17920,Michael Moore,Consumer,United States,New York,13440,East
Hesperia,GK-14620,Grace Kelly,Corporate,United States,California,92345,West
Charlotte,HK-14890,Heather Kirkland,Corporate,United States,North Carolina,28205,South
Lancaster,MJ-17740,Max Jones,Consumer,United States,Ohio,43130,East
San Clemente,AF-10870,Art Ferguson,Consumer,United States,California,92672,West
Houston,CA-12055,Cathy Armstrong,Home Office,United States,Texas,77070,Central
Riverside,JL-15130,Jack Lebron,Consumer,United States,California,92503,West
Colorado Springs,CL-12700,Craig Leslie,Home Office,United States,Colorado,80906,West
Philadelphia,JL-15850,John Lucas,Consumer,United States,Pennsylvania,19134,East
New York City,DB-13360,Dennis Bolton,Home Office,United States,New York,10009,East
Dallas,NB-18655,Nona Balk,Corporate,United States,Texas,75217,Central
Denver,EH-14005,Erica Hernandez,Home Office,United States,Colorado,80219,West
Los Angeles,BO-11350,Bill Overfelt,Corporate,United States,California,90045,West
Saint Charles,RB-19570,Rob Beeghly,Consumer,United States,Illinois,60174,Central
New York City,JL-15835,John Lee,Consumer,United States,New York,10011,East
Dallas,BF-11170,Ben Ferrer,Home Office,United States,Texas,75081,Central
Scottsdale,KD-16615,Ken Dana,Corporate,United States,Arizona,85254,West
Memphis,HF-14995,Herbert Flentye,Consumer,United States,Tennessee,38109,South
Little Rock,CM-12235,Chris McAfee,Consumer,United States,Arkansas,72209,South
Houston,BD-11770,Bryan Davis,Consumer,United States,Texas,77070,Central
New York City,CC-12475,Cindy Chapman,Consumer,United States,New York,10024,East
Greensboro,DL-12865,Dan Lawera,Consumer,United States,North Carolina,27405,South
Irving,AS-10090,Adam Shillingsburg,Consumer,United States,Texas,75061,Central
Amarillo,NR-18550,Nick Radford,Consumer,United States,Texas,79109,Central
New York City,EH-13765,Edward Hooks,Corporate,United States,New York,10009,East
Chicago,CB-12415,Christy Brittain,Consumer,United States,Illinois,60653,Central
Newark,SM-20905,Susan MacKendrick,Consumer,United States,Ohio,43055,East
Louisville,ND-18370,Natalie DeCherney,Consumer,United States,Kentucky,40214,South
Murfreesboro,PJ-18835,Patrick Jones,Corporate,United States,Tennessee,37130,South
Los Angeles,BF-11005,Barry Franz,Home Office,United States,California,90004,West
Encinitas,DM-13015,Darrin Martin,Consumer,United States,California,92024,West
Chattanooga,ZD-21925,Zuschuss Donatelli,Consumer,United States,Tennessee,37421,South
San Francisco,AH-10465,Amy Hunt,Consumer,United States,California,94109,West
Henderson,LW-16990,Lindsay Williams,Corporate,United States,Nevada,89015,West
Tallahassee,RB-19465,Rick Bensley,Home Office,United States,Florida,32303,South
Lorain,BE-11455,Brad Eason,Home Office,United States,Ohio,44052,East
Chicago,AF-10870,Art Ferguson,Consumer,United States,Illinois,60610,Central
Springfield,BE-11455,Brad Eason,Home Office,United States,Missouri,65807,Central
Bakersfield,GM-14500,Gene McClure,Consumer,United States,California,93309,West
New York City,CJ-12010,Caroline Jumper,Consumer,United States,New York,10009,East
Dover,GB-14530,George Bell,Corporate,United States,Delaware,19901,East
Cleveland,CL-12565,Clay Ludtke,Consumer,United States,Ohio,44105,East
Los Angeles,TB-21625,Trudy Brown,Consumer,United States,California,90004,West
Seattle,SS-20590,Sonia Sunley,Consumer,United States,Washington,98115,West
Philadelphia,JW-16075,Julia West,Consumer,United States,Pennsylvania,19140,East
New York City,PS-18970,Paul Stevenson,Home Office,United States,New York,10024,East
Los Angeles,RS-19420,Ricardo Sperren,Corporate,United States,California,90036,West
Houston,MB-18085,Mick Brown,Consumer,United States,Texas,77036,Central
Salem,TH-21100,Thea Hendricks,Consumer,United States,Virginia,24153,South
Austin,CV-12805,Cynthia Voltz,Corporate,United States,Texas,78745,Central
Seattle,RD-19720,Roger Demir,Consumer,United States,Washington,98105,West
Philadelphia,CS-12400,Christopher Schild,Home Office,United States,Pennsylvania,19134,East
Chicago,GM-14500,Gene McClure,Consumer,United States,Illinois,60610,Central
Los Angeles,TT-21070,Ted Trevino,Consumer,United States,California,90045,West
Virginia Beach,VG-21805,Vivek Grady,Corporate,United States,Virginia,23464,South
Philadelphia,FM-14215,Filia McAdams,Corporate,United States,Pennsylvania,19140,East
Seattle,JM-15580,Jill Matthias,Consumer,United States,Washington,98105,West
New York City,HM-14860,Harry Marie,Corporate,United States,New York,10024,East
Mission Viejo,VM-21835,Vivian Mathis,Consumer,United States,California,92691,West
Cincinnati,LH-17155,Logan Haushalter,Consumer,United States,Ohio,45231,East
Jacksonville,MK-17905,Michael Kennedy,Corporate,United States,Florida,32216,South
Yuma,TH-21235,Tiffany House,Corporate,United States,Arizona,85364,West
Jackson,SN-20710,Steve Nguyen,Home Office,United States,Mississippi,39212,South
New York City,TT-21220,Thomas Thornton,Consumer,United States,New York,10035,East
Fort Lauderdale,DP-13000,Darren Powers,Consumer,United States,Florida,33311,South
Springfield,MN-17935,Michael Nguyen,Consumer,United States,Ohio,45503,East
Middletown,JR-15670,Jim Radford,Consumer,United States,Connecticut,6457,East
Los Angeles,DO-13435,Denny Ordway,Consumer,United States,California,90036,West
Los Angeles,SC-20095,Sanjit Chand,Consumer,United States,California,90045,West
Apopka,RP-19855,Roy Phan,Corporate,United States,Florida,32712,South
Waterbury,AG-10900,Arthur Gainer,Consumer,United States,Connecticut,6708,East
Chicago,LW-17215,Luke Weiss,Consumer,United States,Illinois,60653,Central
San Francisco,EB-13930,Eric Barreto,Consumer,United States,California,94110,West
Arlington,LE-16810,Laurel Elliston,Consumer,United States,Virginia,22204,South
New York City,BN-11515,Bradley Nguyen,Consumer,United States,New York,10011,East
San Francisco,BT-11395,Bill Tyler,Corporate,United States,California,94109,West
Lafayette,RP-19855,Roy Phan,Corporate,United States,Indiana,47905,Central
Los Angeles,AH-10690,Anna Häberlin,Corporate,United States,California,90008,West
Vallejo,RB-19465,Rick Bensley,Home Office,United States,California,94591,West
Asheville,JK-15730,Joe Kamberova,Consumer,United States,North Carolina,28806,South
Port Saint Lucie,DB-13210,Dean Braden,Consumer,United States,Florida,34952,South
Colorado Springs,EH-14125,Eugene Hildebrand,Home Office,United States,Colorado,80906,West
Los Angeles,LH-17155,Logan Haushalter,Consumer,United States,California,90032,West
Sparks,LC-16930,Linda Cazamias,Corporate,United States,Nevada,89431,West
Warwick,CP-12340,Christine Phan,Corporate,United States,Rhode Island,2886,East
Dallas,AS-10285,Alejandro Savely,Corporate,United States,Texas,75081,Central
Chicago,SH-19975,Sally Hughsby,Corporate,United States,Illinois,60610,Central
Passaic,AF-10870,Art Ferguson,Consumer,United States,New Jersey,7055,East
Athens,JF-15490,Jeremy Farry,Consumer,United States,Georgia,30605,South
Los Angeles,JE-15610,Jim Epp,Corporate,United States,California,90049,West
San Francisco,LD-17005,Lisa DeCherney,Consumer,United States,California,94109,West
Chicago,KL-16645,Ken Lonsdale,Consumer,United States,Illinois,60623,Central
Florence,AP-10720,Anne Pryor,Home Office,United States,Alabama,35630,South
Philadelphia,CC-12370,Christopher Conant,Consumer,United States,Pennsylvania,19120,East
Newport News,EH-14125,Eugene Hildebrand,Home Office,United States,Virginia,23602,South
Philadelphia,DP-13390,Dennis Pardue,Home Office,United States,Pennsylvania,19120,East
Columbus,JB-16045,Julia Barnett,Home Office,United States,Georgia,31907,South
Fort Worth,MS-17710,Maurice Satty,Consumer,United States,Texas,76106,Central
Washington,TB-21280,Toby Braunhardt,Consumer,United States,District of Columbia,20016,East
Philadelphia,TH-21235,Tiffany House,Corporate,United States,Pennsylvania,19134,East
Santa Ana,SV-20785,Stewart Visinsky,Consumer,United States,California,92704,West
Delray Beach,CP-12085,Cathy Prescott,Corporate,United States,Florida,33445,South
Milwaukee,CM-12235,Chris McAfee,Consumer,United States,Wisconsin,53209,Central
Detroit,LA-16780,Laura Armstrong,Corporate,United States,Michigan,48205,Central
Chicago,BS-11665,Brian Stugart,Consumer,United States,Illinois,60623,Central
Los Angeles,LS-17245,Lynn Smith,Consumer,United States,California,90045,West
Jackson,VD-21670,Valerie Dominguez,Consumer,United States,Mississippi,39212,South
Tallahassee,KC-16675,Kimberly Carter,Corporate,United States,Florida,32303,South
Los Angeles,CL-12565,Clay Ludtke,Consumer,United States,California,90004,West
New York City,EH-13765,Edward Hooks,Corporate,United States,New York,10035,East
Park Ridge,TN-21040,Tanja Norvell,Home Office,United States,Illinois,60068,Central
Montgomery,RL-19615,Rob Lucas,Consumer,United States,Alabama,36116,South
Nashville,RB-19360,Raymond Buch,Consumer,United States,Tennessee,37211,South
Parker,MY-17380,Maribeth Yedwab,Corporate,United States,Colorado,80134,West
Wilmington,RW-19690,Robert Waldorf,Consumer,United States,North Carolina,28403,South
Cincinnati,BG-11695,Brooke Gillingham,Corporate,United States,Ohio,45231,East
Springfield,AH-10690,Anna Häberlin,Corporate,United States,Virginia,22153,South
Hamilton,JM-16195,Justin MacKendrick,Consumer,United States,Ohio,45011,East
